epoch,train_loss,step
0,9.953261375427246,49
1,9.194234848022461,99
2,9.067451477050781,149
3,8.912457466125488,199
4,8.987953186035156,249
5,8.674027442932129,299
6,8.65443229675293,349
7,8.554732322692871,399
8,8.338345527648926,449
9,8.362874984741211,499
10,8.443709373474121,549
11,8.11258602142334,599
12,8.100757598876953,649
13,8.142318725585938,699
14,7.930842876434326,749
15,8.410055160522461,799
16,7.879372596740723,849
17,8.576105117797852,899
18,8.056283950805664,949
19,8.14488697052002,999
20,7.8701863288879395,1049
21,7.741147518157959,1099
22,7.651690483093262,1149
23,7.780097484588623,1199
24,7.639702796936035,1249
25,7.721398830413818,1299
26,7.8033528327941895,1349
27,7.620006561279297,1399
28,7.550779342651367,1449
29,7.480147838592529,1499
30,7.681857109069824,1549
31,7.444925308227539,1599
32,7.397904872894287,1649
33,7.577328681945801,1699
34,7.486766815185547,1749
35,7.638247489929199,1799
36,7.6376118659973145,1849
37,7.333452224731445,1899
38,7.185232639312744,1949
39,7.251821517944336,1999
40,7.395298957824707,2049
41,7.1938652992248535,2099
42,7.076348781585693,2149
43,7.174501419067383,2199
44,7.093624114990234,2249
45,7.031589984893799,2299
46,7.0425639152526855,2349
47,6.980588912963867,2399
48,7.025448799133301,2449
49,6.937722206115723,2499
