step,train_loss,epoch
49,9.843493461608887,0
99,8.979328155517578,1
149,8.890715599060059,2
199,8.73429012298584,3
249,8.644464492797852,4
299,8.4808931350708,5
349,8.359733581542969,6
399,8.161766052246094,7
449,7.906256675720215,8
499,7.7588372230529785,9
549,7.823104381561279,10
599,7.609028339385986,11
649,7.561131000518799,12
699,7.582644462585449,13
749,7.49284553527832,14
799,7.8814191818237305,15
849,7.343465805053711,16
899,7.291086196899414,17
949,7.379947662353516,18
999,7.1794328689575195,19
1049,7.1746063232421875,20
1099,7.256046772003174,21
1149,6.994314670562744,22
1199,7.155209541320801,23
1249,6.914269924163818,24
1299,6.898893356323242,25
1349,7.115802764892578,26
1399,6.8641767501831055,27
1449,7.0078606605529785,28
1499,7.167020797729492,29
1549,6.9596123695373535,30
1599,6.858939170837402,31
1649,6.732334136962891,32
1699,6.6836652755737305,33
1749,6.820874214172363,34
1799,6.725640773773193,35
1849,6.7303619384765625,36
1899,6.770153999328613,37
1949,6.705297470092773,38
1999,6.676790237426758,39
2049,6.549349308013916,40
2099,6.50619649887085,41
2149,6.604678153991699,42
2199,6.643127918243408,43
2249,6.431912899017334,44
2299,6.574049472808838,45
2349,6.583531379699707,46
2399,6.734207630157471,47
2449,6.512216091156006,48
2499,6.467596530914307,49
